Channel Name,Video URL,Video ID,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
Joma Tech,https://www.youtube.com/watch?v=sW9npZVpiMI,sW9npZVpiMI,"602,163 views",51K,564,why you NEED math for programming,33,166
Joma Tech,https://www.youtube.com/watch?v=0oBi8OmjLIg,0oBi8OmjLIg,"608,909 views",25K,739,My Ultimate Work From Home Desk Setup for Productivity,54,173
Joma Tech,https://www.youtube.com/watch?v=bmVKaAV_7-A,bmVKaAV_7-A,684 watching now,42K,888,chill lofi beats to code/relax to,33,1232
Joma Tech,https://www.youtube.com/watch?v=Z0N7vqSgRBY,Z0N7vqSgRBY,"229,853 views",12K,1.5K,Programming Fundamentals with Python | JomaClass Trailer,56,783
Joma Tech,https://www.youtube.com/watch?v=OTfp2_SwxHk,OTfp2_SwxHk,"1,116,926 views",82K,900,If Programming Was An Anime Part 2,34,230
Joma Tech,https://www.youtube.com/watch?v=0KmUoTfGa34,0KmUoTfGa34,"1,322,210 views",53K,1.7K,Coding a whole web app ONLY using my Phone.,43,173
Joma Tech,https://www.youtube.com/watch?v=vT3GUKuAzIs,vT3GUKuAzIs,"2,400,934 views",64K,1.1K,how coronavirus affects programmers in big tech companies,57,163
Joma Tech,https://www.youtube.com/watch?v=pKO9UjSeLew,pKO9UjSeLew,"5,368,398 views",358K,5.1K,If Programming Was An Anime,27,138
Joma Tech,https://www.youtube.com/watch?v=rR4n-0KYeKQ,rR4n-0KYeKQ,"4,453,185 views",127K,1.8K,how we write/review code in big tech companies,46,173
Joma Tech,https://www.youtube.com/watch?v=HTXTVfBCeSY,HTXTVfBCeSY,"1,466,724 views",32K,1.2K,I Got Rejected By A 22-Year Old CEO,35,147
Joma Tech,https://www.youtube.com/watch?v=pvimAM_SLic,pvimAM_SLic,"851,650 views",29K,878,Can you solve my favorite interview question? (math + cs),57,134
Joma Tech,https://www.youtube.com/watch?v=jlieOSX3GyM,jlieOSX3GyM,"80,923 views",1.8K,61,Day in the life of a VC | How to become one? | How much do you earn?,68,64
Joma Tech,https://www.youtube.com/watch?v=1stFeRlvicI,1stFeRlvicI,"68,489 views",2.5K,539,I spent this Christmas all alone...,35,69
Joma Tech,https://www.youtube.com/watch?v=4cDCl4cS5xY,4cDCl4cS5xY,"70,132 views",2.2K,45,What Investors Look For in Startup Founders from Former YC Partner,66,63
Joma Tech,https://www.youtube.com/watch?v=vmYaAzbv9xk,vmYaAzbv9xk,"151,490 views",3.9K,192,Data Scientists vs Data Engineers: Which one is for you?,56,134
Joma Tech,https://www.youtube.com/watch?v=uHt01D6rOLI,uHt01D6rOLI,"1,177,771 views",52K,1.1K,If American Psycho were about Programmers,41,122
Joma Tech,https://www.youtube.com/watch?v=fB7nyxXaczY,fB7nyxXaczY,"852,223 views",15K,301,Interview With My Brother Who Sold His Startup For $60 Million | Machine Learning Engineer,90,253
Joma Tech,https://www.youtube.com/watch?v=rtuKId76DZI,rtuKId76DZI,"292,874 views",6.6K,356,All My Job Offers In Tech,25,342
