Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=_HBBSG7tAfQ,"249,843 views",29K,790,The Road To Karabakh,20,400
bald and bankrupt,https://www.youtube.com/watch?v=mYU_tKMLZy0,"593,678 views",29K,679,The Orgasmatron Woman Of Sinaloa 🇲🇽,35,230
bald and bankrupt,https://www.youtube.com/watch?v=V2xVSmzPzW4,"1,232,432 views",79K,4.1K,Hunting The Caspian Sea Monster,31,627
bald and bankrupt,https://www.youtube.com/watch?v=hkivQ20J6WY,"917,236 views",44K,496,Would You Drive This Mountain Road? 🇰🇬,38,225
bald and bankrupt,https://www.youtube.com/watch?v=CtYgsifAhtY,"1,050,870 views",54K,450,Solo In A Closed Soviet City ⛔️,31,459
bald and bankrupt,https://www.youtube.com/watch?v=XZ7-sGmNrDw,"1,513,563 views",64K,787,I Slept In Kyrgyzstan's Worst Hotel 🇰🇬,38,397
bald and bankrupt,https://www.youtube.com/watch?v=cTxgcZcgLbk,"2,333,009 views",61K,2K,Hitching Through Sinaloa | Mexico's Narco State 🇲🇽,50,321
bald and bankrupt,https://www.youtube.com/watch?v=uetA4Wf5i4Q,"838,001 views",34K,1.2K,Trying Mexico's Village Blood Drink 🇲🇽,38,266
bald and bankrupt,https://www.youtube.com/watch?v=Y1HRGSE0U8A,"730,119 views",33K,1.3K,Lost In Mexico City 🇲🇽,22,507
bald and bankrupt,https://www.youtube.com/watch?v=dUIL_71zeLc,"1,860,996 views",64K,1.7K,Solo In Mexico's Most Dangerous Barrio 🇲🇽,41,409
bald and bankrupt,https://www.youtube.com/watch?v=BFIrCReIPpY,"1,008,383 views",46K,1.8K,Midnight Tacos In Mexico City 🇲🇽,32,255
bald and bankrupt,https://www.youtube.com/watch?v=UKjjBgfZG5Q,"1,010,992 views",57K,844,Czech This Out!🇨🇿,17,441
bald and bankrupt,https://www.youtube.com/watch?v=SrAA09YwDYo,"892,146 views",47K,1.7K,Eating Cow Brain With Albanians 🇦🇱,34,338
bald and bankrupt,https://www.youtube.com/watch?v=ROozLTYm_OQ,"2,095,485 views",88K,1.3K,This Country Was Ready For War! 🇦🇱,34,354
bald and bankrupt,https://www.youtube.com/watch?v=Gsyf6tqnL7g,"1,067,803 views",66K,1.4K,Forced To Drink From Shoe By Prague Bully 🇨🇿,44,490
bald and bankrupt,https://www.youtube.com/watch?v=vZN3ooDtl9o,"2,019,812 views",100K,890,I Found An Abandoned House In A Forest,38,334
bald and bankrupt,https://www.youtube.com/watch?v=7XzxmSRwdPg,"1,204,141 views",48K,719,The Village That Disappeared 🇧🇾,31,374
bald and bankrupt,https://www.youtube.com/watch?v=ydH2pEFeDuc,"1,270,847 views",45K,860,Lost In No-Lockdown Minsk 🇧🇾,28,381
bald and bankrupt,https://www.youtube.com/watch?v=NszXuvBWMsU,"1,643,451 views",72K,1.1K,I Tried Every Beer In Belarus...It Took Three Days,50,273
bald and bankrupt,https://www.youtube.com/watch?v=j_UAkHQFcgA,"2,053,171 views",81K,2K,The Country Where They Didn't Lockdown!,39,343
bald and bankrupt,https://www.youtube.com/watch?v=Mqf8pruqisU,"1,544,065 views",48K,1.3K,Would You Try This Armenian Food?! 🇦🇲,37,265
bald and bankrupt,https://www.youtube.com/watch?v=eX_Etwy7ep8,"1,307,952 views",42K,654,Look What I Found In Armenia! 🇦🇲,32,264
bald and bankrupt,https://www.youtube.com/watch?v=C5TNecidRD0,"1,967,716 views",57K,1.1K,Would You Ride The Coronavirus Express?,39,436
bald and bankrupt,https://www.youtube.com/watch?v=5aNxKGu6ccs,"1,775,261 views",70K,1.9K,I Smuggled A Cat Out Of Cuba 🇨🇺,31,876
bald and bankrupt,https://www.youtube.com/watch?v=f3fDphcGRiE,"1,234,355 views",36K,1K,This Man Threw My Beer Away! 🇨🇺,31,217
